Tair,Rhair,CO2air,Cum_irr,EC_drain_PC,pH_drain_PC,water_sup,Drain
21.0,51.9,509.0,31.6,0.3,6.5,263.0,0.0
21.5,51.3,484.0,31.8,0.3,6.5,265.0,0.0
21.6,52.2,475.0,31.8,0.3,6.5,265.0,0.0
21.3,54.6,501.0,32.0,0.3,6.5,267.0,0.0
21.4,54.4,487.0,32.0,0.3,6.5,267.0,0.0
21.3,54.3,472.0,32.3,0.3,6.5,269.0,0.0
21.2,54.3,491.0,32.3,0.3,6.5,269.0,0.0
21.1,54.6,487.0,32.5,0.3,6.5,271.0,1.8
20.9,54.7,490.0,32.5,0.3,6.5,271.0,0.4
21.0,54.8,506.0,32.8,0.3,6.5,273.0,4.4
20.8,54.6,499.0,32.8,0.3,6.5,273.0,1.6
20.9,54.5,496.0,33.0,0.3,6.5,275.0,2.3
20.9,54.4,512.0,33.0,0.3,6.5,275.0,0.8
20.7,54.6,505.0,33.2,0.3,6.5,277.0,0.0
20.6,54.8,499.0,33.2,0.3,6.5,277.0,1.0
20.6,54.7,506.0,33.5,0.3,6.5,279.0,0.8
20.7,54.5,498.0,33.5,0.3,6.5,279.0,1.1
20.8,54.0,507.0,33.7,0.3,6.5,281.0,1.1
20.8,53.6,501.0,33.7,0.3,6.5,281.0,0.5
20.7,53.6,498.0,34.0,0.3,6.5,283.0,0.4
20.6,53.8,513.0,34.0,0.3,6.5,283.0,0.5
20.6,53.9,514.0,34.2,0.3,6.5,285.0,0.2
20.8,53.6,491.0,34.2,0.3,6.5,285.0,1.2
20.9,53.0,505.0,34.4,0.3,6.5,287.0,0.2
20.9,52.7,525.0,34.4,0.3,6.5,287.0,0.0
20.8,52.8,505.0,0.1,0.3,6.5,1.0,1.7
20.8,52.9,511.0,0.1,0.3,6.5,1.0,1.0
20.8,53.1,507.0,0.4,0.3,6.5,3.0,0.9
20.8,53.2,517.0,0.4,0.3,6.5,3.0,0.8
20.8,53.0,508.0,0.6,0.3,6.5,5.0,0.8
20.9,52.8,501.0,0.6,0.3,6.5,5.0,0.6
21.0,52.5,501.0,0.8,0.3,6.5,7.0,0.5
21.0,52.4,522.0,0.8,0.3,6.5,7.0,0.7
21.1,52.3,507.0,1.1,0.3,6.5,9.0,0.5
21.1,52.2,508.0,1.1,0.3,6.5,9.0,0.4
21.1,52.2,513.0,1.3,0.3,6.5,11.0,0.1
21.1,52.4,514.0,1.3,0.3,6.5,11.0,0.5
